"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","Tags","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","clock","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","methylation clock","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","EEAA method","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","methylation profiles","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","Cord blood","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","CD4T","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","CD8T","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","Mono","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","NK","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","Bcell","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","Neu","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","Eos","Notes"
"Datasets to estimate cell counts for EEAA method","Predefined datasets included in this package are andrews and bakulski cord blood, blood gse35069, blood gse35069 chen, blood gse35069 complete, combined cord blood, cord blood gse68456, gervin and lyle cord blood, guintivano dlpfc and saliva gse48472 ","3.12","hg19","RDA","https://github.com/perishky/meffil/blob/master/inst/references.rda","June 2020","Homo sapiens",9606,FALSE,NA,"Juan R Gonzalez <juanr.gonzalez@isglobal.org>","List","Rda","https://github.com/perishky/","meffil/inst/references.rda","CD14","Notes"
